,tweet,likes,country,candidate,retweet_count
32,"While I’m glad #Trump mentioned #Armenia|ns tonight, let’s clarify why they were there:

They were not there rallying for Trump...

Rather, they were protesting the #US’s funding &amp; ignoring of the attempted #genocide of Armenians by #Turkey / #Azerbaijan.

#RecognizeArtsakh https://t.co/Sn3d2KMxiD",12.0,Armenia,Trump,
33,#Trump announced about his participation in #Artsakh NK talks https://t.co/Xog82ppaId https://t.co/mytNUSbfsZ,9.0,Armenia,Trump,
34,"That #Trump could win this election after the thousands of monstrous things he’s done and the 100,000s of people he’s killed due to his negligence shows you both how deep racism runs in the US &amp; also the catastrophic cost of Murdoch disinformation &amp; Facebook etc #Election2020",2628.0,Australia,Trump,
35,"Proud to announce that I just voted for president #Trump 🇺🇸 

I encourage my fellow Americans to do the same 💪 

Also put $100k on him to win. Let’s make America great again! 🚀🚀🚀",1683.0,Australia,Trump,
36,"Undecided Asian American voters are sharing this video of a Korean grandmother explaining her vote for @JoeBiden, why she doesn't trust #Trump, &amp; how to make kimchi. 25K views on FB. 

(Shot by @annabelpark &amp; edited by me.) #VoteHimOut @AAPAIsForBiden @AAPI_Biden #Vote2020 https://t.co/X1KrzHO2Ee",1289.0,Australia,Trump,
37,Just voted for #Trump again. Loving these mail in ballots! 🇦🇺,1279.0,Australia,Trump,
38,"I just bet more on #Trump 

It’s going to be a long and drawn out process but he’s got this presidency.

Keep trolling me. When it’s announced I’ll have made a lambo and you’ll still be poor 🥳",1182.0,Australia,Trump,
39,"Das größte Problem für Donald #Trump ist: gleich wieviel Gutes er bewegt — ob für Minderheiten oder in der Friedenspolitik — viele Menschen erfahren das alles nicht einmal. Sie vertrauen eben den großen Medienkonzernen. Außer ""Rassist"", ""Gefahr"", ""Irrer"" usw. wissen sie nichts.",352.0,Austria,Trump,
40,"Endlich wieder gute Nachrichten!
🇺🇸👍🏻 #Election2020 #trump
#biden #servas #YOUREFIRED https://t.co/1tL3bcen5i",283.0,Austria,Trump,
41,"#Trump is now finally burning the US democracy - it will be hard to overcome this divide for a long time, no matter what the results will be.. 😐 #Elections2020. https://t.co/DURtiEd5jM",198.0,Austria,Trump,
